user_id,timestamp,event_type,module,session_id,region,school_id
BOT001,2026-03-01 00:00:48,webinar_hosted,Вебинары,SBOT,Москва,1
BOT004,2026-03-01 00:01:44,webinar_started,Вебинары,SBOT,Москва,1
BOT014,2026-03-01 00:02:41,material_downloaded,Библиотека материалов,SBOT,Москва,1
BOT001,2026-03-01 00:03:38,webinar_hosted,Вебинары,SBOT,Москва,1
BOT002,2026-03-01 00:04:31,homework_assigned,Домашние задания,SBOT,Москва,1
BOT004,2026-03-01 00:04:38,homework_checked,Домашние задания,SBOT,Москва,1
BOT001,2026-03-01 00:05:11,grade_viewed,,SBOT,Москва,1
BOT013,2026-03-01 00:07:31,material_viewed,Библиотека материалов,SBOT,Москва,1
BOT000,2026-03-01 00:08:03,webinar_hosted,Вебинары,SBOT,Москва,1
BOT004,2026-03-01 00:08:46,material_downloaded,Библиотека материалов,SBOT,Москва,1
BOT009,2026-03-01 00:08:51,grade_entered,Оценки,SBOT,Москва,1
BOT007,2026-03-01 00:09:14,homework_checked,Домашние задания,SBOT,Москва,1
BOT014,2026-03-01 00:10:11,homework_assigned,Домашние задания,SBOT,Москва,1
BOT004,2026-03-01 00:10:38,homework_assigned,Домашние задания,SBOT,Москва,1
BOT000,2026-03-01 00:10:42,schedule_viewed,Расписание,SBOT,Москва,1
BOT011,2026-03-01 00:10:56,webinar_hosted,Вебинары,SBOT,Москва,1
BOT012,2026-03-01 00:11:06,homework_checked,Домашние задания,SBOT,Москва,1
BOT003,2026-03-01 00:11:37,webinar_hosted,Вебинары,SBOT,Москва,1
BOT003,2026-03-01 00:12:48,webinar_started,Вебинары,SBOT,Москва,1
BOT014,2026-03-01 00:14:03,grade_viewed,Оценки,SBOT,Москва,1
BOT013,2026-03-01 00:14:03,schedule_viewed,Расписание,SBOT,Москва,1
BOT007,2026-03-01 00:15:35,grade_entered,Оценки,SBOT,Москва,1
BOT012,2026-03-01 00:16:14,material_downloaded,Библиотека материалов,SBOT,Москва,1
BOT012,2026-03-01 00:17:01,grade_entered,Оценки,SBOT,Москва,1
BOT003,2026-03-01 00:17:26,grade_entered,,SBOT,Москва,1
BOT003,2026-03-01 00:18:03,webinar_started,Вебинары,SBOT,Москва,1
BOT007,2026-03-01 00:18:28,grade_entered,Оценки,SBOT,Москва,1
BOT004,2026-03-01 00:19:56,grade_entered,Оценки,SBOT,Москва,1
BOT013,2026-03-01 00:23:56,material_viewed,Библиотека материалов,SBOT,Москва,1
BOT000,2026-03-01 00:23:59,schedule_viewed,Расписание,SBOT,Москва,1
BOT009,2026-03-01 00:24:17,material_downloaded,,SBOT,Москва,1
BOT000,2026-03-01 00:25:54,schedule_viewed,Расписание,SBOT,Москва,1
BOT012,2026-03-01 00:26:33,homework_assigned,Домашние задания,SBOT,Москва,1
BOT012,2026-03-01 00:26:34,webinar_started,Вебинары,SBOT,Москва,1
BOT010,2026-03-01 00:26:43,webinar_started,Вебинары,SBOT,Москва,1
BOT000,2026-03-01 00:26:47,webinar_started,Вебинары,SBOT,Москва,1
BOT001,2026-03-01 00:27:17,schedule_viewed,Расписание,SBOT,Москва,1
BOT008,2026-03-01 00:27:32,grade_viewed,Оценки,SBOT,Москва,1
BOT012,2026-03-01 00:28:50,homework_assigned,Домашние задания,SBOT,Москва,1
BOT010,2026-03-01 00:28:54,webinar_started,Вебинары,SBOT,Москва,1
BOT006,2026-03-01 00:29:05,schedule_viewed,Расписание,SBOT,Москва,1
BOT011,2026-03-01 00:29:44,material_downloaded,Библиотека материалов,SBOT,Москва,1
BOT011,2026-03-01 00:31:11,webinar_hosted,Вебинары,SBOT,Москва,1
BOT000,2026-03-01 00:32:48,material_viewed,Библиотека материалов,SBOT,Москва,1
BOT006,2026-03-01 00:33:24,grade_entered,Оценки,SBOT,Москва,1
BOT008,2026-03-01 00:33:39,schedule_viewed,Расписание,SBOT,Москва,1
BOT012,2026-03-01 00:34:04,homework_checked,Домашние задания,SBOT,Москва,1
BOT001,2026-03-01 00:34:05,schedule_viewed,Расписание,SBOT,Москва,1
BOT000,2026-03-01 00:34:51,homework_assigned,Домашние задания,SBOT,Москва,1
BOT002,2026-03-01 00:35:40,homework_assigned,Домашние задания,SBOT,Москва,1
BOT011,2026-03-01 00:35:41,material_downloaded,Библиотека материалов,SBOT,Москва,1
BOT006,2026-03-01 00:36:50,homework_checked,Домашние задания,SBOT,Москва,1
BOT006,2026-03-01 00:38:42,schedule_viewed,Расписание,SBOT,Москва,1
BOT000,2026-03-01 00:38:45,grade_entered,Оценки,SBOT,Москва,1
BOT012,2026-03-01 00:40:43,homework_assigned,Домашние задания,SBOT,Москва,1
BOT012,2026-03-01 00:40:47,material_downloaded,Библиотека материалов,SBOT,Москва,1
BOT004,2026-03-01 00:41:18,grade_entered,Оценки,SBOT,Москва,1
